,Pred_Background,Pred_Meadow,Pred_Soft winter wheat,Pred_Corn,Pred_Winter barley,Pred_Winter rapeseed,Pred_Spring barley,Pred_Sunflower,Pred_Grapevine,Pred_Beet,Pred_Winter triticale,Pred_Winter durum wheat,"Pred_Fruits, vegetables, flowers",Pred_Potatoes,Pred_Leguminous fodder,Pred_Soybeans,Pred_Orchard,Pred_Mixed cereal,Pred_Sorghum
True_Background,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Meadow,640670,724144,1442,2572,377,277,183,949,1708,60,333,2665,1858,39,32151,265,1237,1071,1556
True_Soft winter wheat,76846,2309,398122,1297,318,297,660,140,182,243,3498,45711,189,73,1000,52,172,973,23
True_Corn,103748,5779,941,602370,468,369,61,272,1466,301,17,1935,2713,106,2353,1841,440,23,6790
True_Winter barley,20299,2133,951,401,119775,78,583,50,20,19,142,10447,68,4,163,19,4,669,0
True_Winter rapeseed,14488,436,135,261,91,118636,1,12,10,19,8,176,7,9,484,27,1,62,5
True_Spring barley,12244,554,64,324,857,173,23205,23,178,0,4,7521,121,268,1648,0,0,6,2
True_Sunflower,15319,1300,28,100,10,13,3,56294,39,0,7,148,996,13,225,0,2,0,109
True_Grapevine,85115,2468,14,60,8,0,28,96,150335,0,1,206,607,1,165,1,2755,0,4
True_Beet,8399,183,76,133,2,20,22,2,0,47673,0,221,56,9,90,4,1,0,0
True_Winter triticale,5815,1044,7124,179,238,19,2,38,2,0,34866,710,56,0,443,3,4,1050,6
True_Winter durum wheat,16816,613,67,14,69,0,45,20,101,12,0,76186,35,23,171,0,6,0,72
"True_Fruits, vegetables, flowers",24628,2371,39,263,19,22,34,1578,998,23,0,593,57280,28,467,11,1227,35,90
True_Potatoes,6152,127,19,88,5,15,2,4646,134,406,0,7,1967,9149,639,0,0,0,173
True_Leguminous fodder,27960,16114,88,190,1,59,121,675,173,9,14,562,153,0,79215,1,515,1069,8
True_Soybeans,15767,2691,69,1624,97,4,13,1067,0,15,0,211,202,0,363,75097,0,1,2527
True_Orchard,38302,3230,9,18,21,11,15,80,2203,15,1,73,789,0,1264,0,38292,0,0
True_Mixed cereal,6477,3692,2996,242,1046,629,0,13,110,5,2049,187,258,0,3550,2,130,22188,64
True_Sorghum,4104,3245,5,2564,1,0,0,289,94,0,13,253,330,0,1396,5,3,0,14817
