class_id,class_name,SQ,RQ,PQ
1,Meadow,0.78205377,0.47792616,0.37376395
2,Soft winter wheat,0.8464428,0.82944,0.7020735
3,Corn,0.8373018,0.83084357,0.6956668
4,Winter barley,0.84700274,0.84405285,0.7149151
5,Winter rapeseed,0.8471071,0.8575198,0.7264111
6,Spring barley,0.83021986,0.7189189,0.59686077
7,Sunflower,0.83515614,0.67756313,0.565871
8,Grapevine,0.7410495,0.5029711,0.3727265
9,Beet,0.85952747,0.9,0.7735747
10,Winter triticale,0.85017556,0.67948717,0.5776834
11,Winter durum wheat,0.81992257,0.6722488,0.5511919
12,"Fruits, vegetables, flowers",0.77286106,0.5468393,0.4226308
13,Potatoes,0.8039617,0.5837838,0.46933982
14,Leguminous fodder,0.8107009,0.57593983,0.46691495
15,Soybeans,0.8547284,0.79591835,0.68029404
16,Orchard,0.7638445,0.4688372,0.3581187
17,Mixed cereal,0.8503501,0.63722396,0.54186344
18,Sorghum,0.8389272,0.6353591,0.53302
